infinitive,Present tense,Simple past,Past participle,definition
befehlen,befiehlt,befahl,hat befohlen,to command
beginnen,beginnt,begann,hat begonnen,to begin
beißen,beißt,biss,hat gebissen,to bite
beschreiben,beschreibt,beschrieb,hat beschrieben,to describe
bieten,bietet,bot,hat geboten,to offer
binden,bindet,band,hat gebunden,to bind
bleiben,bleibt,blieb,ist geblieben,to remain
brechen,bricht,brach,hat gebrochen,to break
dürfen,darf,durfte,hat gedurft,to be allowed (may)
empfangen,empfängt,empfing,hat empfangen,to receive
empfehlen,empfiehlt,empfahl,hat empfohlen,to recommend
empfinden,empfindet,empfand,hat empfunden,to feel
erschrecken,erschrickt,erschrak,ist erschrocken,to frighten
erziehen,erzieht,erzog,hat erzogen,to bring up
essen,isst,aß,hat gegessen,to eat
fahren,fährt,fuhr,ist gefahren,to drive
fallen,fällt,fiel,ist gefallen,to fall
fangen,fängt,fing,hat gefangen,to catch
fernsehen,sieht fern,sah fern,hat ferngesehen,to watch TV
finden,findet,fand,hat gefunden,to find
fliegen,fliegt,flog,ist geflogen,to fly
fliehen,flieht,floh,ist geflohen,to flee
fließen,fließt,floß,ist geflossen,to flow
frieren,friert,fror,hat gefroren,to freeze
geben,gibt,gab,hat gegeben,to give
gefallen,gefällt,gefiel,hat gefallen,to please
gehen,geht,ging,ist gegangen,to go
gelingen,gelingt,gelang,ist gelungen,to be successful
genießen,genießt,genoss,hat genossen,to enjoy
geschehen,geschieht,geschah,ist geschehen,to happen
gewinnen,gewinnt,gewann,hat gewonnen,to win
gießen,gießt,goss,hat gegossen,to pour
gleichen,gleicht,glich,hat geglichen,to resemble
greifen,greift,griff,hat gegriffen,to grasp
haben,hat,hatte,hat gehabt,to have
halten,hält,hielt,hat gehalten,to hold / to stop
hängen,hängt,hing,hat gehangen,to hang
heißen,heißt,hieß,hat geheißen,to be called
helfen,hilft,half,hat geholfen,to help
kommen,kommt,kam,ist gekommen,to come
können,kann,konnte,hat gekonnt,to be able (can)
kriechen,kriecht,kroch,ist gekrochen,to crawl
laden,lädt,lud,hat geladen,to load
lassen,lässt,ließ,hat gelassen,to let
laufen,läuft,lief,ist gelaufen,"to run, walk"
leiden,leidet,litt,hat gelitten,to suffer
leihen,leiht,lieh,hat geliehen,to lend / to borrow
lesen,liest,las,hat gelesen,to read
liegen,liegt,lag,hat gelegen,to lie (lie down)
lügen,lügt,log,hat gelogen,to lie (tell a falsehood)
mögen,mag,mochte,hat gemocht,to like
müssen,muss,musste,hat gemusst,to have to (must)
nehmen,nimmt,nahm,hat genommen,to take
pfeifen,pfeift,pfiff,hat gepfiffen,to whistle
raten,rät,riet,hat geraten,to guess / to advise
reißen,reißt,riss,hat gerissen,to rip
reiten,reitet,ritt,hat geritten,to ride
riechen,riecht,roch,hat gerochen,to smell
rufen,ruft,rief,hat gerufen,to call
scheinen,scheint,schien,hat geschienen,to shine / to seem
schieben,schiebt,schob,hat geschoben,to push
schießen,schießt,schoss,hat geschossen,to shoot
schlafen,schläft,schlief,hat geschlafen,to sleep
schlagen,schlägt,schlug,hat geschlagen,"to hit, strike"
schließen,schließt,schloss,hat geschlossen,to close
schneiden,schneidet,schnitt,hat geschnitten,to cut
schreiben,schreibt,schrieb,hat geschrieben,to write
schreien,schreit,schrie,hat geschrieen,"to scream, cry"
schreiten,schreitet,schritt,ist geschritten,"to stride, step"
schweigen,schweigt,schwieg,hat geschwiegen,to be silent
schwimmen,schwimmt,schwamm,ist geschwommen,to swim
sehen,sieht,sah,hat gesehen,to see
sein,ist,war,ist gewesen,to be
singen,singt,sang,hat gesungen,to sing
sinken,singt,sank,ist gesunken,to sink
sitzen,sitzt,saß,hat gesessen,to sit
sollen,soll,sollte,hat gesollt,to ought to (should)
sprechen,spricht,sprach,hat gesprochen,to speak
springen,springt,sprang,ist gesprungen,to jump
stehen,steht,stand,hat gestanden,to stand
stehlen,stiehlt,stahl,hat gestohlen,to steal
steigen,steigt,stieg,ist gestiegen,"to climb, mount"
sterben,stirbt,starb,ist gestorben,to die
streiten,streitet,stritt,hat gestritten,to quarrel
tragen,trägt,trug,hat getragen,to carry / to wear
treffen,trifft,traf,hat getroffen,to meet
treten,tritt,trat,ist getreten,to step
trinken,trinkt,trank,hat getrunken,to drink
trügen,trügt,trog,hat getrogen,to deceive
tun,tut,tat,hat getan,to do
unterbrechen,unterbricht,unterbrach,hat unterbrochen,to interrupt
unternehmen,unternimmt,unternahm,hat unternommen,to undertake
verbieten,verbietet,verbot,hat verboten,to forbid
verderben,verdirbt,verdarb,ist verdorben,to spoil
vergessen,vergisst,vergaß,hat vergessen,to forget
verlassen,verlässt,verließ,hat verlassen,to leave
verlieren,verliert,verlor,hat verloren,to lose
vermeiden,vermeidet,vermied,hat vermieden,to avoid
verzeihen,verzeiht,verzieh,hat verziehen,to forgive
wachsen,wächst,wuchs,ist gewachsen,to grow
waschen,wäscht,wusch,hat gewaschen,to wash
weichen,wreicht,wich,hat gewichen,to yield / give way
werben,wirbt,warb,hat geworben,to advertise
werden,wird,wurde,ist geworden,to become
werfen,wirft,warf,hat geworfen,to throw
wiegen,wiegt,wog,hat gewogen,to weigh / to cradle
wissen,weiß,wusste,hat gewusst,to know (a fact)
wollen,will,wollte,hat gewollt,to want
wringen,wringt,wrang,hat gewrungen,to wring
ziehen,zieht,zog,ist gezogen,to pull / to move
zwingen,zwingt,zwang,hat gezwungen,to force
